# OrdScale, Damp Rate: 0.0239638044938 0.116555513302
#  r 	 Gdiff 	 mPDF_calc 	 TotalDiff
2.040000000000000036e+00 -4.476927933845908925e-01 -4.878396299704451655e-02 -3.989088303875463759e-01
2.049999999999999822e+00 -4.671982075350487040e-01 -5.149248223473767982e-02 -4.157057253003110242e-01
2.060000000000000053e+00 -4.669932771806430960e-01 -5.427605859493916940e-02 -4.127172185857039266e-01
2.070000000000000284e+00 -4.462545048767481148e-01 -5.713450374437217816e-02 -3.891200011323759367e-01
2.080000000000000071e+00 -4.053405162182894816e-01 -6.006752037048146420e-02 -3.452729958478080174e-01
2.089999999999999858e+00 -3.458125681079428082e-01 -6.307469934738002548e-02 -2.827378687605627827e-01
2.100000000000000089e+00 -2.702569889709581785e-01 -6.615551706229816364e-02 -2.041014719086600149e-01
2.109999999999999876e+00 -1.821929140672312597e-01 -6.930933291451070455e-02 -1.128835811527205552e-01
2.120000000000000107e+00 -8.579003230781967471e-02 -7.253538699855360816e-02 -1.325464530926606654e-02
2.129999999999999893e+00 1.431453877025745669e-02 -7.583279798332893951e-02 9.014733675358639620e-02
2.140000000000000124e+00 1.133591461650593768e-01 -7.920056119843821296e-02 1.925597073634975898e-01
2.149999999999999911e+00 2.067098766901649398e-01 -8.263754693877806146e-02 2.893474236289430013e-01
2.160000000000000142e+00 2.901223567669204417e-01 -8.614249899807863153e-02 3.762648557649990733e-01
2.169999999999999929e+00 3.599814749281700643e-01 -8.971403344166473115e-02 4.496955083698347955e-01
2.180000000000000160e+00 4.135081453000322149e-01 -9.335063762827111589e-02 5.068587829283033308e-01
2.189999999999999947e+00 4.488809934163743853e-01 -9.705066949024737655e-02 5.459316629066217619e-01
2.200000000000000178e+00 4.653211046544799556e-01 -1.008123570809502656e-01 5.661334617354302212e-01
2.209999999999999964e+00 4.630911973100296786e-01 -1.046337983975330621e-01 5.677249957075627407e-01
2.220000000000000195e+00 4.434484928909839807e-01 -1.085129614867140768e-01 5.519614543776980575e-01
2.229999999999999982e+00 4.085379872640704790e-01 -1.124476848404330487e-01 5.209856721045035277e-01
2.240000000000000213e+00 3.612131599340158150e-01 -1.164356780875926978e-01 4.776488380216085128e-01
2.250000000000000000e+00 3.048518674907155779e-01 -1.204745229873289691e-01 4.253263904780445470e-01
2.260000000000000231e+00 2.431416465424389717e-01 -1.245616747284658543e-01 3.677033212709048260e-01
2.270000000000000018e+00 1.798258425479732914e-01 -1.286944635389939973e-01 3.085203060869672886e-01
2.280000000000000249e+00 1.184497831579167659e-01 -1.328700966085402113e-01 2.513198797664569772e-01
2.290000000000000036e+00 6.220718614715226025e-02 -1.370856603259056894e-01 1.992928464730579496e-01
2.299999999999999822e+00 1.373633977675670081e-02 -1.413381228328531303e-01 1.550744626096098311e-01
2.310000000000000053e+00 -2.502324650356202440e-02 -1.456243368943778704e-01 1.206010903908158460e-01
2.320000000000000284e+00 -5.297021344751007277e-02 -1.499410430847377129e-01 9.697082963722764015e-02
2.330000000000000071e+00 -6.975627368460379785e-02 -1.542848732875386764e-01 8.452859960293487851e-02
2.339999999999999858e+00 -7.593455679205485254e-02 -1.586523545071820418e-01 8.271779771512718926e-02
2.350000000000000089e+00 -7.278737448163408175e-02 -1.630399129879750164e-01 9.025253850634093467e-02
2.360000000000000320e+00 -6.223681470639519375e-02 -1.674438786361960863e-01 1.052070639298008925e-01
2.370000000000000107e+00 -4.674785431999106677e-02 -1.718604897393929687e-01 1.251126354194019019e-01
2.379999999999999893e+00 -2.911850375983293659e-02 -1.762858979761766365e-01 1.471673942163436999e-01
2.390000000000000124e+00 -1.231464821643646346e-02 -1.807161737087656928e-01 1.684015254923292293e-01
2.399999999999999911e+00 7.113706742876146905e-04 -1.851473115495327337e-01 1.858586822238203484e-01
2.410000000000000142e+00 7.269762734774865010e-03 -1.895752361918134343e-01 1.968449989265882993e-01
2.419999999999999929e+00 5.003219663516134119e-03 -1.939958084942715599e-01 1.989990281577876940e-01
2.430000000000000160e+00 -7.895484611636360839e-03 -1.984048318071532924e-01 1.905093471955169315e-01
2.439999999999999947e+00 -3.257693815680995364e-02 -2.027980585278379433e-01 1.702211203710279896e-01
2.450000000000000178e+00 -6.948296814342369565e-02 -2.071711968721916264e-01 1.376882287287679307e-01
2.459999999999999964e+00 -1.183155823333538192e-01 -2.115199178473579633e-01 9.320433551400414407e-02
2.470000000000000195e+00 -1.780437739782519957e-01 -2.158398624107910613e-01 3.779608843253906558e-02
2.479999999999999982e+00 -2.469364113834802144e-01 -2.201266487995381382e-01 -2.680976258394207612e-02
2.490000000000000213e+00 -3.226483973353043710e-01 -2.243758800130308817e-01 -9.827251732227348935e-02
2.500000000000000000e+00 -4.023810194802319717e-01 -2.285831514319445756e-01 -1.737978680482873961e-01
2.509999999999999787e+00 -4.829560855331276326e-01 -2.327440585550252239e-01 -2.502120269781024087e-01
2.520000000000000018e+00 -5.610601436126151365e-01 -2.368542048351658935e-01 -3.242059387774492429e-01
2.530000000000000249e+00 -6.333798586372972883e-01 -2.409092095954986634e-01 -3.924706490417986249e-01
2.540000000000000036e+00 -6.967614213440259663e-01 -2.449047160057714612e-01 -4.518567053382545051e-01
2.549999999999999822e+00 -7.483866277213289120e-01 -2.488363990988520236e-01 -4.995502286224768884e-01
2.560000000000000053e+00 -7.859408656503046320e-01 -2.526999738068457235e-01 -5.332408918434589085e-01
2.570000000000000284e+00 -8.077375385854920209e-01 -2.564912029960156881e-01 -5.512463355894763328e-01
2.580000000000000071e+00 -8.127612858086094016e-01 -2.602059054794676474e-01 -5.525553803291417543e-01
2.589999999999999858e+00 -8.007915650052984669e-01 -2.638399639864082991e-01 -5.369516010188901678e-01
2.600000000000000089e+00 -7.724185915499146571e-01 -2.673893330666960999e-01 -5.050292584832185572e-01
2.610000000000000320e+00 -7.289431381374588126e-01 -2.708500469093920171e-01 -4.580930912280667955e-01
2.620000000000000107e+00 -6.724411623604233945e-01 -2.742182270540765576e-01 -3.982229353063468369e-01
2.629999999999999893e+00 -6.055835395449494785e-01 -2.774900899738286797e-01 -3.280934495711207988e-01
2.640000000000000124e+00 -5.315502406875275421e-01 -2.806619545089748535e-01 -2.508882861785526885e-01
2.649999999999999911e+00 -4.538587313459628847e-01 -2.837302491309849906e-01 -1.701284822149778941e-01
2.660000000000000142e+00 -3.762106081054457651e-01 -2.866915190162508953e-01 -8.951908908919486985e-02
2.669999999999999929e+00 -3.023039737275994288e-01 -2.895424329099031135e-01 -1.276154081769631521e-02
2.680000000000000160e+00 -2.356592248853546234e-01 -2.922797897603183204e-01 5.662056487496369694e-02
2.689999999999999947e+00 -1.794417370138398082e-01 -2.949005251055332177e-01 1.154587880916934095e-01
2.700000000000000178e+00 -1.363109347362764512e-01 -2.974017171934122961e-01 1.610907824571358449e-01
2.709999999999999964e+00 -1.082703977548718499e-01 -2.997805928181164203e-01 1.915101950632445704e-01
2.720000000000000195e+00 -9.661950829949600417e-02 -3.020345328561804266e-01 2.054150245566844224e-01
2.729999999999999982e+00 -1.018035929833464859e-01 -3.041610774863317546e-01 2.023574845029852687e-01
2.740000000000000213e+00 -1.235142693770387989e-01 -3.061579310780674357e-01 1.826436617010286367e-01
2.750000000000000000e+00 -1.605703257821878838e-01 -3.080229667349334566e-01 1.474526409527455728e-01
2.759999999999999787e+00 -2.111071256345380398e-01 -3.097542304794527190e-01 9.864710484491467923e-02
2.770000000000000018e+00 -2.725932359905707258e-01 -3.113499450676823210e-01 3.875670907711159519e-02
2.780000000000000249e+00 -3.419814885652068259e-01 -3.128085134224622976e-01 -2.917297514274452830e-02
2.790000000000000036e+00 -4.158899795056694160e-01 -3.141285216755443366e-01 -1.017614578301250794e-01
2.799999999999999822e+00 -4.907410128109215286e-01 -3.153087418099494998e-01 -1.754322710009720288e-01
2.810000000000000053e+00 -5.629463184895007188e-01 -3.163481338950972499e-01 -2.465981845944034689e-01
2.820000000000000284e+00 -6.291408176076411785e-01 -3.172458479084708238e-01 -3.118949696991703546e-01
2.830000000000000071e+00 -6.862239755960617416e-01 -3.180012251388295574e-01 -3.682227504572321841e-01
2.839999999999999858e+00 -7.316765657413411006e-01 -3.186137991672418623e-01 -4.130627665740992382e-01
2.850000000000000089e+00 -7.634605942321943672e-01 -3.190832964234927571e-01 -4.443772978087016101e-01
2.860000000000000320e+00 -7.803512945604786921e-01 -3.194096363167066022e-01 -4.609416582437720900e-01
2.870000000000000107e+00 -7.817324903956901494e-01 -3.195929309403158780e-01 -4.621395594553742714e-01
2.879999999999999893e+00 -7.677701834072045983e-01 -3.196334843528011449e-01 -4.481366990544034534e-01
2.890000000000000124e+00 -7.392837988209297606e-01 -3.195317914369120715e-01 -4.197520073840176891e-01
2.900000000000000355e+00 -6.977598955903561162e-01 -3.192885363413535127e-01 -3.784713592490026035e-01
2.910000000000000142e+00 -6.451590345145166161e-01 -3.189045905101836609e-01 -3.262544440043329552e-01
2.919999999999999929e+00 -5.838025619853945969e-01 -3.183810103064077524e-01 -2.654215516789868445e-01
2.930000000000000160e+00 -5.163319455544979064e-01 -3.177190342374701659e-01 -1.986129113170277405e-01
2.940000000000000391e+00 -4.454586202512063053e-01 -3.169200797915298629e-01 -1.285385404596764425e-01
2.950000000000000178e+00 -3.738667203402843420e-01 -3.159857398945596918e-01 -5.788098044572465017e-02
2.959999999999999964e+00 -3.040742723451721474e-01 -3.149177789994209165e-01 1.084350665424876903e-02
2.969999999999999751e+00 -2.383601706925877473e-01 -3.137181288191385753e-01 7.535795812655082804e-02
2.979999999999999982e+00 -1.786043922773896675e-01 -3.123888837176281297e-01 1.337844914402384622e-01
2.990000000000000213e+00 -1.263373757506238704e-01 -3.109322957721004643e-01 1.845949200214765940e-01
3.000000000000000000e+00 -8.262134823436362296e-02 -3.093507695222911247e-01 2.267294212879275017e-01
3.009999999999999787e+00 -4.805178717415836687e-02 -3.076468564225275926e-01 2.595950692483692257e-01
3.020000000000000018e+00 -2.289141926049076403e-02 -3.058232490134499826e-01 2.829318297529592185e-01
3.030000000000000249e+00 -6.982528410581778644e-03 -3.038827748309470000e-01 2.969002464203652214e-01
3.040000000000000036e+00 1.037185830723430513e-04 -3.018283900705418521e-01 3.019321086536141951e-01
3.049999999999999822e+00 -9.907312261874245962e-04 -2.996631730260751469e-01 2.986724417998877223e-01
3.060000000000000053e+00 -9.472579559747007494e-03 -2.973903173220700524e-01 2.879177377623230449e-01
