# r 	 gobs 	 nucpdfcalc 	 mpdfcalc
2.169999999999999929e+00 -4.003280850059321438e-01 -2.972080592385491216e-02 3.134966599559686762e-02
2.180000000000000160e+00 -3.862945311753317457e-01 -2.886780824593963152e-02 3.033733902218316292e-02
2.189999999999999947e+00 -3.609762036709443511e-01 -2.805262716271045981e-02 2.933626899463535886e-02
2.200000000000000178e+00 -3.261807914088042382e-01 -2.734199038039216573e-02 2.834504055880223902e-02
2.209999999999999964e+00 -2.840996515449154547e-01 -2.679749823762602942e-02 2.736226513460952858e-02
2.220000000000000195e+00 -2.371884413942841052e-01 -2.647122329837201318e-02 2.638657819901036802e-02
2.229999999999999982e+00 -1.880374819960757005e-01 -2.640181384416855764e-02 2.541663801629291328e-02
2.240000000000000213e+00 -1.392388316117077751e-01 -2.661138573408561997e-02 2.445112386853136657e-02
2.250000000000000000e+00 -9.325706001140429691e-02 -2.710344410627833073e-02 2.348873365320242046e-02
2.260000000000000231e+00 -5.231034666965713592e-02 -2.786201543682770634e-02 2.252818301709289678e-02
2.270000000000000018e+00 -1.826780584894304588e-02 -2.885209495049922621e-02 2.156820454138378557e-02
2.280000000000000249e+00 7.432083731750986980e-03 -3.002142881468426033e-02 2.060754713068860267e-02
2.290000000000000036e+00 2.383833372021574790e-02 -3.130356033254855924e-02 1.964497569547801747e-02
2.300000000000000266e+00 3.051740663635123252e-02 -3.262198042848664381e-02 1.867927112279191976e-02
2.310000000000000053e+00 2.755561660910567714e-02 -3.389514121950992082e-02 1.770923052813400470e-02
2.319999999999999840e+00 1.553481241580507641e-02 -3.504202331370641355e-02 1.673366778158020055e-02
2.330000000000000071e+00 -4.516398433926318082e-03 -3.598789798779501725e-02 1.575141427084272155e-02
2.339999999999999858e+00 -3.119237807115514405e-02 -3.666989890072942099e-02 1.476131994915635612e-02
2.350000000000000089e+00 -6.279662047165077143e-02 -3.704201751124767267e-02 1.376225463379595823e-02
2.359999999999999876e+00 -9.743910404518721369e-02 -3.707916331332956200e-02 1.275310948027294500e-02
2.370000000000000107e+00 -1.331391875394325741e-01 -3.677998405546122757e-02 1.173279866882760529e-02
2.379999999999999893e+00 -1.679283341762715653e-01 -3.616822010805242210e-02 1.070026128325727612e-02
2.390000000000000124e+00 -1.999472109801119779e-01 -3.529246714012992947e-02 9.654463357537508561e-03
2.399999999999999911e+00 -2.275322774837577333e-01 -3.422433668163193943e-02 8.594400071218701379e-03
2.410000000000000142e+00 -2.492878080340381330e-01 -3.305512803806514438e-02 7.519098074168318289e-03
2.419999999999999929e+00 -2.641403277016569073e-01 -3.189124945206901068e-02 6.427617920879853328e-03
2.430000000000000160e+00 -2.713736152226916554e-01 -3.084874288924306998e-02 5.319056594404183817e-03
2.439999999999999947e+00 -2.706436625777822735e-01 -3.004736684543610203e-02 4.192550099940329199e-03
2.450000000000000178e+00 -2.619742026965472537e-01 -2.960476711368834751e-02 3.047276773638411384e-03
2.459999999999999964e+00 -2.457345498243801718e-01 -2.963130953377418608e-02 1.882459043457653664e-03
2.470000000000000195e+00 -2.226024737685900479e-01 -3.022615593809815926e-02 6.973651908634287151e-04
2.479999999999999982e+00 -1.935155930166732874e-01 -3.147513134077081776e-02 -5.086865822943255518e-04
2.490000000000000213e+00 -1.596152803593152980e-01 -3.345085574003246742e-02 -1.736325242494432455e-03
2.500000000000000000e+00 -1.221873026235252013e-01 -3.621549909323685396e-02 -2.986124789786086513e-03
2.510000000000000231e+00 -8.260335595732386238e-02 -3.982636705660475701e-02 -4.258601706354464382e-03
2.520000000000000018e+00 -4.226732064887057244e-02 -4.434434446264244600e-02 -5.554212479332123684e-03
2.530000000000000249e+00 -2.569472992380267967e-03 -4.984502203358358308e-02 -6.873351212203414329e-03
2.540000000000000036e+00 3.514889997426380586e-02 -5.643212020826691988e-02 -8.216347338086250549e-03
2.550000000000000266e+00 6.961897750094339643e-02 -6.425261429775752653e-02 -9.583463447781093852e-03
2.560000000000000053e+00 9.965549235219317570e-02 -7.351277035721448527e-02 -1.097489324557781969e-02
2.569999999999999840e+00 1.241559834478374869e-01 -8.449413410871324526e-02 -1.239075963161783388e-02
2.580000000000000071e+00 1.420897482061442840e-01 -9.756838822990733517e-02 -1.383111292806485371e-02
2.589999999999999858e+00 1.524788835423898925e-01 -1.132099171632906798e-01 -1.529592926289966015e-02
2.600000000000000089e+00 1.543744762853414831e-01 -1.320049019882128249e-01 -1.678510911005177617e-02
2.609999999999999876e+00 1.468314462002740794e-01 -1.546558167589790200e-01 -1.829847599280298373e-02
2.620000000000000107e+00 1.288857261853540159e-01 -1.819803147116155206e-01 -1.983577535141661102e-02
2.629999999999999893e+00 9.953736976733315589e-02 -2.149036769395502589e-01 -2.139667358004022912e-02
2.640000000000000124e+00 5.774280887780289251e-02 -2.544442428316256444e-01 -2.298075723478831128e-02
2.649999999999999911e+00 2.418865934208087702e-03 -3.016915423310963518e-01 -2.458753241395015762e-02
2.660000000000000142e+00 -6.753970905365329347e-02 -3.577771930166955827e-01 -2.621642431037492227e-02
2.669999999999999929e+00 -1.532284014676703332e-01 -4.238389952131913496e-01 -2.786677693525039731e-02
2.680000000000000160e+00 -2.556871156010748214e-01 -5.009790385157781856e-01 -2.953785340681310337e-02
2.689999999999999947e+00 -3.758418235355469039e-01 -5.902170043855072823e-01 -3.122883604688729206e-02
2.700000000000000178e+00 -5.144362040779217882e-01 -6.924401923058869368e-01 -3.293882507932750087e-02
2.709999999999999964e+00 -6.719567597207090071e-01 -8.083520921846728546e-01 -3.466683965248090055e-02
2.720000000000000195e+00 -8.485556800096938357e-01 -9.384215554009156524e-01 -3.641181951514510517e-02
2.729999999999999982e+00 -1.043976261099676783e+00 -1.082834765653051035e+00 -3.817262504407967910e-02
2.740000000000000213e+00 -1.257485951110945077e+00 -1.241452266346009026e+00 -3.994803809362507119e-02
2.750000000000000000e+00 -1.487822043039834341e+00 -1.413773255498835590e+00 -4.173676299028234588e-02
2.760000000000000231e+00 -1.733154673563463088e+00 -1.598909208539717852e+00 -4.353742766763366717e-02
2.770000000000000018e+00 -1.991071118258546324e+00 -1.795568635387671419e+00 -4.534858493695965304e-02
2.780000000000000249e+00 -2.258584431322424368e+00 -2.002054427561174688e+00 -4.716871388897332651e-02
2.790000000000000036e+00 -2.532168307790847450e+00 -2.216274815392854425e+00 -4.899622141837670086e-02
2.800000000000000266e+00 -2.807818710086233960e+00 -2.435768451089364461e+00 -5.082944388421292009e-02
2.810000000000000053e+00 -3.081141371319132460e+00 -2.657743580671422023e+00 -5.266664887363549374e-02
2.819999999999999840e+00 -3.347462845044316015e+00 -2.879130690197206022e+00 -5.450603707853728108e-02
